pid,storage,price,name,비고,사진 링크
1,1,15,ASUS ROG Azoth,,
3,1,15,Jay Studio Radio75,,
5,1,5,ABKO AR61D,,
6,1,17,Owlab Link65,,
7,2,35,mm studio class 1800,,
8,2,20,Mode Encore,,
9,2,,Glare tkl 추정 / 실물 확인 필요,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
11,2,20,TX87 V1 anodized pink TKL,,
12,2,8,TX PAD pink ,,
13,5,20,Paper80,,
14,2,5,Lucky65,,
15,2,40,MONOKEI x TGR Tomo ,,
16,2,5,XVX L75 Air ,,
17,,25,DOMIKEY LABY81,,
18,,,LZ RV 추정 / 실물 확인 필요,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
19,5,5,Rainy75,,
20,5,8,GMMK numpad,,
21,5,85,루버제인 그레이,,
23,5,8,TX 넘패드,,
24,4,8,TX 넘패드,,
25,5,8,TX 넘패드,,
26,5,8,TX 넘패드,,
27,4,16,TX 87 v1 추정,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
28,4,20,QK 101,,
29,4,30,Geon W1-AT,,
31,3,10,Tactile Pro,,
32,3,,G80-3422LAMIT 추정,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
33,3,,CHERRY G80-1813,,
34,6,,CHERRY G80-8113,,
35,6,,Versakey Quest,,
36,6,,CHERRY G80-3000,,
37,6,,37번 키보드,,
38,7,16,TX 87 v1 추정,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
39,7,16,TX 87 v1 추정,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
40,7,16,TX 87 v1 추정,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
41,7,16,TX 87 v1 추정,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
42,3,4,ND75,,
43,3,20,Paper80,,
44,4,10,Vortex,,
46,3,4,Matias Mini Tactile Pro,,
47,6,45,4GT Sabre,,
48,6,25,4GT Silhouette 추정,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
49,8,35,TENET70,,
50,8,,Crush 80 추정 / 실물 확인 필요,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
51,8,16,tx1800,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
52,8,,52번 키보드,,
53,8,25,al.bok 추정,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
54,8,60,Cloudnine,,
55,8,5,STARS80,,
56,9,15,tex yoda,,
58,,25,tx cp 추정,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
59,9,10,Macintosh Apple M0110,,
60,9,10,Vault 35 추정,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
61,9,12,LZ Octagon V2 추정,사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
62,9,45,Orbit,,
63,9,,LZSQ?,,
64,9,,356MINI,,
65,9,5,Transition Lite,,
66,10,5,RO75,,
67,10,,67번 키보드,,
68,10,5,LZ-CLSm (상태불량),사진을 통해 제보받은 모델명입니다. 사진만으로 파악한 것이기에 실제 모델명과 다를 수 있는 점 꼭 참고 부탁드립니다.,
69,10,5,Chilkey Paw65,,
70,10,25,Sin65,,
71,9,50,LZ CLS,,
72,10,15,NCR workstation keyboard ,,
100,,5,PBTFans 1984,,20260622_152043.jpg
101,,3,Deadline studio DOYS P2,,20260622_152522.jpg
102,,3,FBB S9000,,20260622_152723.jpg
103,,3,FBB S9000 Black,,20260622_152727.jpg
104,,8,DCS WYSE,,20260622_152429.jpg
105,,10,DCS Intro Beige & WoB,,20260622_152842.jpg
106,,10,GMK Muted,,20260622_152124.jpg
107,,10,GMK Modo Light MTNU,,20260622_152057.jpg
108,,9,GMK Zooted,,"20260622_151524.jpg
20260622_151524.jpg"
109,,12,GMK Olivia N3,,"20260622_152328.jpg
20260622_152332.jpg"
110,,10,GMK Metropolis,,"20260622_151446.jpg
20260622_151500.jpg"
111,,,GMK Solarized Dark,,"20260622_151558.jpg
20260622_151609.jpg"
112,,,GMK Burgundy,,20260622_151706.jpg
113,,,GMK Carbon,,20260622_151811.jpg
114,,25,GMK Rubrehose,개봉 (+ 별도 노벨티 키캡 세트 있음),20260622_152235.jpg
115,,,GMK white blue (사용품),사용한 제품입니다 (약간 누렇게 변함),"20260622_152558.jpg
20260622_152603.jpg"
116,,,GMK white blue,미사용,20260622_151839.jpg
117,,,GMK white blue,미사용,20260622_151839.jpg
118,,,GMK white blue,미사용,20260622_151839.jpg